date,yearID,trail.condition
12/13/2003,Y1,snow-ice
12/11/2004,Y2,clear
12/10/2005,Y3,snow-ice
12/9/2006,Y4,clear
12/8/2007,Y5,snow-ice
12/13/2008,Y6,ice
12/12/2009,Y7,ice
12/11/2010,Y8,clear
12/10/2011,Y9,clear
12/8/2012,Y10,clear
12/14/2013,Y11,snow-ice
12/13/2014,Y12,clear
